Testtaker ID,Country,Region,Gender,Age,Year,Highest Level of Education,School/University,First-generation university,Employment Status,Role Applied,Department / Interest,Past Test Taker,Prepared with Online Materials,Desired Office,Ecosystem %,Time Spent on Ecosystem,Redrock %,Time Spent on Redrock,Seawolf %,Time Spent on Seawolf,Total Product Score,Process Score,Resume Score,Total Assessment Score,Status
MCK0503,Chile,Central and South America,Female,28,2018,Masters,Universidad de Tarapacá  ,Yes,Unemployed,Business Presentation Designer,Visual Graphics & Media,Yes,No,United Arab Emirates,83,29,67,26,53,15,67.67,69,92,76.22,Pass
MCK0504,Pakistan,Middle East,Female,24,2025,MBA,"Institute of Management Sciences, Peshawar  ",Yes,Self Employed,Consultant,Consulting,Yes,Yes,Hungary,82,20,77,18,86,16,81.67,97,65,81.22,Pass
MCK0505,Romania,Europe,Female,24,2021,Masters,University of Timisoara  ,No,Unemployed,Business Presentation Designer,Visual Graphics & Media,Yes,Yes,South Korea,55,16,50,25,54,20,53,93,66,70.67,Fail
MCK0506,Belgium,Europe,Female,25,2023,Masters,Ghent University  ,Yes,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Nigeria,80,18,37,20,53,20,56.67,79,92,75.89,Pass
MCK0507,Romania,Europe,Male,25,2023,Medical Doctor,Technical University of Cluj-Napoca  ,No,Unemployed,Accountant,Finance,No,No,Kenya,65,30,33,35,70,34,56,77,84,72.33,Fail
MCK0508,Kuwait,Middle East,Male,31,2019,Post-Ph.D.,College of Aviation Technology  ,Yes,Student,Office Services Administrator,Global Administration,No,Yes,Sri Lanka,43,16,67,21,64,28,58,68,78,68,Fail
MCK0509,Turkey,Europe,Female,28,2020,Masters,Gazi University  ,Yes,Self Employed,Business Presentation Designer,Visual Graphics & Media,Yes,No,Dominican Republic,66,19,53,27,69,29,62.67,86,61,69.89,Fail
MCK0510,Romania,Europe,Male,29,2019,MBA,University of Oradea  ,Yes,Self Employed,Senior Service Designer,Visual Graphics & Media,No,No,Bahrain,84,32,80,33,85,35,83,86,97,88.67,Pass
MCK0511,Peru,Central and South America,Non-Binary,24,2024,Undergraduate,University of the Pacific  ,Yes,Unemployed,Data Engineer,Analytics,No,Yes,Qatar,100,23,70,26,72,22,80.67,81,90,83.89,Pass
MCK0512,Turkey,Europe,Female,32,2023,MBA,Ege University  ,Yes,Employed,Executive Assistant,Global Administration,No,Yes,Mexico,68,21,54,29,78,24,66.67,79,94,79.89,Pass
MCK0513,Thailand,Asia Pacific,Male,30,2018,MBA,University of the Thai Chamber of Commerce  ,No,Unemployed,Office Services Administrator,Global Administration,No,Yes,Argentina,60,26,63,27,70,30,64.33,100,63,75.78,Pass
MCK0514,South Korea,Asia Pacific,Male,39,2020,Post-Ph.D.,KAIST (Korea Advanced Institute of Science and Technology)  ,No,Student,Data Analyst,Analytics,Yes,Yes,Switzerland,64,20,44,24,100,16,69.33,70,97,78.78,Pass
MCK0515,Czech Republic,Europe,Male,18,2022,Undergraduate,Česká zemědělská univerzita v Praze  ,Yes,Self Employed,Executive Assistant,Global Administration,Yes,No,Egypt,54,27,59,25,88,25,67,67,60,64.67,Fail
MCK0516,Canada,North America,Female,25,2025,MBA,University of British Columbia (UBC)  ,No,Unemployed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Pakistan,83,19,53,22,52,15,62.67,70,90,74.22,Fail
MCK0517,Italy,Europe,Non-Binary,27,2018,Masters,University of Turin  ,Yes,Self Employed,Office Services Administrator,Global Administration,No,No,France,77,33,20,34,73,34,56.67,84,73,71.22,Fail
MCK0518,South Korea,Asia Pacific,Non-Binary,18,2025,Undergraduate,Sogang University  ,Yes,Employed,Data Analyst,Analytics,No,No,Egypt,76,31,76,35,53,35,68.33,100,78,82.11,Pass
MCK0519,Malaysia,Asia Pacific,Male,22,2018,Masters,International Islamic University Malaysia  ,No,Self Employed,Director of Public Affairs - US Federal,Communications,Yes,No,Brazil,70,17,67,27,73,27,70,85,61,72,Fail
MCK0520,Thailand,Asia Pacific,Female,27,2024,Masters,Prince of Songkla University  ,No,Student,Senior Service Designer,Visual Graphics & Media,No,Yes,Ecuador,55,27,50,29,91,25,65.33,89,81,78.44,Pass
MCK0521,Italy,Europe,Female,22,2024,Masters,University of Pisa  ,Yes,Employed,Finance Analyst,Finance,Yes,No,Brazil,79,22,35,28,83,20,65.67,100,79,81.56,Pass
MCK0522,Sweden,Europe,Non-Binary,22,2019,Masters,Örebro University  ,No,Employed,Senior Service Designer,Visual Graphics & Media,No,Yes,Czech Republic,51,15,55,21,78,28,61.33,74,79,71.44,Fail
MCK0523,Canada,North America,Female,19,2020,Undergraduate,University of Alberta  ,Yes,Unemployed,Data Analyst,Analytics,Yes,Yes,Colombia,93,15,25,22,81,17,66.33,73,64,67.78,Fail
MCK0524,Sri Lanka,Asia Pacific,Male,28,2023,Law,University of Batticaloa  ,No,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,No,Argentina,88,25,52,26,71,27,70.33,95,91,85.44,Pass
MCK0525,Pakistan,Asia Pacific,Male,21,2024,Undergraduate,"University of Health Sciences, Lahore  ",No,Self Employed,Senior Service Designer,Visual Graphics & Media,No,Yes,Kazakhstan,29,18,19,16,87,24,45,66,75,62,Fail
MCK0526,Poland,Europe,Female,28,2025,Masters,AGH University of Science and Technology  ,No,Unemployed,Junior Associate,Consulting,Yes,No,Netherlands,67,30,55,23,74,29,65.33,65,97,75.78,Pass
MCK0527,Romania,Europe,Female,29,2019,Masters,University of Medicine and Pharmacy of Bucharest  ,Yes,Student,Business Presentation Designer,Visual Graphics & Media,No,No,Kenya,70,31,53,35,76,35,66.33,99,77,80.78,Pass
MCK0528,Denmark,Europe,Male,30,2020,Masters,Copenhagen Business School  ,No,Self Employed,Data Engineer,Analytics,Yes,Yes,Netherlands,53,18,77,25,67,17,65.67,94,93,84.22,Pass
MCK0529,Spain,Europe,Non-Binary,30,2018,MBA,University of Extremadura  ,No,Self Employed,Accountant,Finance,No,Yes,United States,60,22,43,25,71,16,58,99,78,78.33,Pass
MCK0530,South Africa,Africa,Non-Binary,22,2022,Undergraduate,University of the Western Cape  ,No,Unemployed,Data Analyst,Analytics,No,Yes,Italy,70,24,37,23,61,25,56,69,90,71.67,Fail
MCK0531,Portugal,Europe,Male,23,2022,Undergraduate,University of Madeira  ,No,Unemployed,Business Presentation Designer,Visual Graphics & Media,No,Yes,Ukraine,63,25,79,17,72,22,71.33,99,67,79.11,Pass
MCK0532,Peru,Central and South America,Female,27,2025,Law,San Martin de Porres University  ,Yes,Student,Finance Analyst,Finance,No,Yes,Ethiopia,99,26,49,30,66,30,71.33,89,60,73.44,Fail
MCK0533,Bahrain,Middle East,Female,17,2021,High School,University of the Gulf  ,Yes,Employed,Data Engineer,Analytics,No,No,Norway,81,31,69,33,81,33,77,90,64,77,Pass
MCK0534,United Arab Emirates,Middle East,Female,24,2025,Undergraduate,Islamic Azad University,No,Student,Data Analyst,Analytics,Yes,No,Colombia,62,18,47,23,65,15,58,72,69,66.33,Fail
MCK0535,Portugal,Europe,Male,30,2024,Masters,University of Trás-os-Montes and Alto Douro  ,No,Student,Business Presentation Designer,Visual Graphics & Media,No,No,Italy,97,32,45,35,62,33,68,88,61,72.33,Fail
MCK0536,France,Europe,Male,26,2021,Masters,Université Paris 5 René Descartes  ,No,Employed,Communications Specialist - Sustainability,Communications,Yes,No,Luxembourg,86,20,70,20,78,16,78,64,71,71,Fail
MCK0537,Canada,North America,Non-Binary,22,2020,Undergraduate,McMaster University  ,Yes,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,No,Germany,76,15,44,24,60,26,60,85,93,79.33,Pass
MCK0538,Spain,Europe,Non-Binary,22,2018,Masters,University of La Laguna  ,Yes,Unemployed,Accountant,Finance,Yes,No,Philippines,92,24,72,20,50,23,71.33,67,80,72.78,Fail
MCK0539,Ukraine,Europe,Female,26,2020,Masters,Kharkiv National University of Radioelectronics  ,No,Self Employed,Business Presentation Designer,Visual Graphics & Media,Yes,Yes,Egypt,88,18,80,21,71,16,79.67,74,75,76.22,Pass
MCK0540,Greece,Europe,Female,32,2022,Ph.D.,University of Patras  ,Yes,Student,Director of Public Affairs - US Federal,Communications,No,No,Turkey,81,33,75,34,60,30,72,86,71,76.33,Pass
MCK0541,Italy,Europe,Male,28,2019,MBA,University of Roma Tre  ,Yes,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,No,Panama,100,20,78,30,78,28,85.33,83,68,78.78,Pass
MCK0542,Costa Rica,Central and South America,Female,30,2023,MBA,Universidad San Marcos  ,No,Employed,Data Analyst,Analytics,Yes,Yes,Dominican Republic,74,19,67,22,47,20,62.67,86,89,79.22,Pass
MCK0543,Vietnam,Asia Pacific,Female,18,2019,Undergraduate,Can Tho University  ,Yes,Student,Executive Assistant,Global Administration,No,Yes,Hungary,100,23,77,20,92,25,89.67,100,87,92.22,Pass
MCK0544,Pakistan,Asia Pacific,Non-Binary,30,2018,MBA,University of Sindh  ,No,Student,Finance Analyst,Finance,No,No,Greater China,75,31,55,35,60,32,63.33,62,89,71.44,Fail
MCK0545,Austria,Europe,Non-Binary,23,2018,Undergraduate,Medical University of Graz  ,No,Unemployed,Consultant,Consulting,Yes,No,France,87,23,52,26,67,26,68.67,64,68,66.89,Fail
MCK0546,Australia,Asia Pacific,Female,30,2019,MBA,Monash University  ,Yes,Employed,Business Presentation Designer,Visual Graphics & Media,Yes,No,South Korea,83,25,50,23,86,15,73,74,67,71.33,Fail
MCK0547,France,Europe,Non-Binary,22,2021,Undergraduate,Université Paris 6 Pierre-et-Marie-Curie  ,No,Unemployed,Senior Service Designer,Visual Graphics & Media,No,No,Ethiopia,75,30,37,35,60,31,57.33,73,66,65.44,Fail
MCK0548,Israel,Europe,Male,31,2025,Ph.D.,Bar-Ilan University  ,Yes,Student,Executive Assistant,Global Administration,Yes,Yes,Guatemala,95,17,46,21,83,16,74.67,99,70,81.22,Pass
MCK0549,Netherlands,Europe,Male,18,2023,High School,University of Twente  ,No,Employed,Consultant,Consulting,Yes,No,Pakistan,77,26,57,26,100,26,78,88,94,86.67,Pass
MCK0550,Dominican Republic,Central and South America,Male,28,2021,MBA,Universidad Dominicana O&M  ,Yes,Student,Business Presentation Designer,Visual Graphics & Media,Yes,No,Switzerland,56,29,49,28,70,20,58.33,93,60,70.44,Fail
MCK0551,Hungary,Europe,Female,21,2025,Undergraduate,University of Miskolc  ,Yes,Student,Junior Associate,Consulting,No,No,United Arab Emirates,100,32,60,34,74,35,78,61,88,75.67,Pass
MCK0552,Czech Republic,Europe,Female,26,2023,Medical Doctor,Univerzita Tomáše Bati ve Zlíně  ,No,Self Employed,Communications Specialist - Sustainability,Communications,Yes,No,Japan,70,29,65,25,66,29,67,81,63,70.33,Fail
MCK0553,Morocco,Africa,Non-Binary,25,2023,Undergraduate,Ibn Zohr University  ,Yes,Student,Office Services Administrator,Global Administration,Yes,No,Croatia,85,21,72,29,66,15,74.33,100,85,86.44,Pass
MCK0554,United States,North America,Non-Binary,25,2021,Undergraduate,Dartmouth College  ,Yes,Student,Finance Analyst,Finance,No,No,Egypt,58,35,61,34,91,31,70,100,66,78.67,Pass
MCK0555,Egypt,Middle East,Male,33,2018,Ph.D.,Damietta University  ,Yes,Student,Accountant,Finance,Yes,No,Kuwait,63,20,65,29,52,17,60,85,99,81.33,Pass
MCK0556,Peru,Central and South America,Male,24,2024,Ph.D.,University of Trujillo  ,No,Self Employed,Office Services Administrator,Global Administration,Yes,Yes,Kuwait,59,20,80,21,80,17,73,71,88,77.33,Pass
MCK0557,Hungary,Europe,Female,22,2021,Masters,University of Sopron  ,Yes,Unemployed,Communications Specialist - Sustainability,Communications,Yes,No,India,80,22,25,22,62,17,55.67,81,70,68.89,Fail
MCK0558,Nigeria,Africa,Male,31,2022,Medical Doctor,University of Ibadan  ,No,Self Employed,Consultant,Consulting,Yes,Yes,Luxembourg,84,15,38,22,65,16,62.33,95,75,77.44,Pass
MCK0559,Japan,Asia Pacific,Female,25,2020,Masters,Waseda University  ,No,Self Employed,Consultant,Consulting,No,No,Malaysia,86,30,37,34,45,30,56,85,63,68,Fail
MCK0560,Sweden,Europe,Female,26,2025,Ph.D.,Luleå University of Technology  ,No,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,Yes,Nigeria,53,15,65,25,62,16,60,98,61,73,Fail
MCK0561,Qatar,Middle East,Non-Binary,18,2019,Undergraduate,Doha Institute for Graduate Studies  ,Yes,Self Employed,Director of Public Affairs - US Federal,Communications,No,No,United Kingdom,88,35,62,35,98,33,82.67,81,94,85.89,Pass
MCK0562,United Kingdom,Europe,Female,31,2018,MBA,University of Exeter  ,Yes,Unemployed,Data Engineer,Analytics,No,No,Kuwait,56,34,65,33,58,30,59.67,97,99,85.22,Pass
MCK0563,Costa Rica,Central and South America,Non-Binary,31,2022,Law,Universidad Santa Paula  ,No,Employed,Accountant,Finance,Yes,Yes,Croatia,84,17,62,21,55,16,67,76,73,72,Fail
MCK0564,Kenya,Africa,Female,32,2020,MBA,Masinde Muliro University of Science and Technology  ,Yes,Self Employed,Communications Specialist - Sustainability,Communications,Yes,Yes,Norway,73,18,61,23,61,17,65,76,88,76.33,Pass
MCK0565,Ireland,Europe,Male,33,2024,Law,Dublin Institute of Technology  ,No,Student,Data Analyst,Analytics,Yes,No,India,86,18,45,27,100,19,77,100,72,83,Pass
MCK0566,South Africa,Africa,Male,29,2020,Medical Doctor,University of Limpopo  ,No,Unemployed,Data Analyst,Analytics,Yes,Yes,United States,89,15,65,22,100,19,84.67,100,100,94.43,Pass
MCK0567,Egypt,Middle East,Non-Binary,31,2024,Ph.D.,Matrouh University  ,Yes,Student,Finance Analyst,Finance,Yes,No,Denmark,70,22,69,20,73,27,70.67,80,89,79.89,Pass
MCK0568,Egypt,Middle East,Male,20,2025,Undergraduate,Luxor University  ,Yes,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Ukraine,87,18,82,24,78,16,82.33,83,68,77.78,Pass
MCK0569,India,Asia Pacific,Female,24,2025,Undergraduate,IIT Madras,No,Student,Communications Specialist - Sustainability,Communications,No,Yes,Norway,91,28,52,28,67,23,70,86,79,78.33,Pass
MCK0570,Japan,Asia Pacific,Female,25,2023,Masters,Hitotsubashi University  ,No,Self Employed,Business Presentation Designer,Visual Graphics & Media,Yes,No,Czech Republic,100,20,69,25,74,20,81,80,89,83.33,Pass
MCK0571,Switzerland,Europe,Female,29,2025,Masters,University of Fribourg  ,Yes,Employed,Director of Public Affairs - US Federal,Communications,No,Yes,Dominican Republic,64,20,74,22,58,30,65.33,61,66,64.11,Fail
MCK0572,United States,North America,Non-Binary,29,2018,MBA,Florida Institute of Technology,No,Student,Executive Assistant,Global Administration,No,Yes,Singapore,59,22,62,16,34,24,51.67,91,91,77.89,Pass
MCK0573,South Korea,Asia Pacific,Female,30,2019,MBA,Dongguk University  ,Yes,Employed,Consultant,Consulting,Yes,Yes,Qatar,84,17,66,19,65,18,71.67,68,97,78.89,Pass
MCK0574,Ethiopia,Africa,Female,19,2023,Undergraduate,Gondar University  ,No,Self Employed,Communications Specialist - Sustainability,Communications,Yes,Yes,Ireland,71,15,58,21,58,17,62.33,72,77,70.44,Fail
MCK0575,Colombia,Central and South America,Female,24,2018,Undergraduate,Universidad Industrial de Santander  ,No,Self Employed,Senior Service Designer,Visual Graphics & Media,No,No,Singapore,78,32,56,35,72,32,68.67,66,87,73.89,Fail
MCK0576,United Kingdom,Europe,Female,25,2022,Undergraduate,University of Oxford,Yes,Self Employed,Office Services Administrator,Global Administration,No,Yes,Chile,73,19,55,27,74,22,67.33,79,93,79.78,Pass
MCK0577,Egypt,Middle East,Male,26,2023,MBA,October 6 University  ,Yes,Self Employed,Junior Associate,Consulting,Yes,No,Ireland,87,23,52,28,76,19,71.67,84,68,74.56,Fail
MCK0578,Switzerland,Europe,Female,26,2019,Ph.D.,University of Neuchâtel  ,Yes,Employed,Senior Service Designer,Visual Graphics & Media,Yes,No,Norway,83,27,41,23,85,23,69.67,60,76,68.56,Fail
MCK0579,United Kingdom,Europe,Non-Binary,26,2022,Masters,University of Cardiff  ,No,Self Employed,Executive Assistant,Global Administration,Yes,No,Poland,100,27,59,28,67,25,75.33,67,86,76.11,Pass
MCK0580,Vietnam,Asia Pacific,Male,23,2025,Masters,Ton Duc Thang University  ,Yes,Unemployed,Executive Assistant,Global Administration,No,No,Uruguay,72,35,69,34,78,30,73,100,80,84.33,Pass
MCK0581,Angola,Africa,Non-Binary,19,2022,Undergraduate,Kimpa Vita University  ,No,Student,Data Engineer,Analytics,No,No,Mexico,51,33,47,35,78,32,58.67,67,74,66.56,Fail
MCK0582,United States,North America,Non-Binary,20,2025,Undergraduate,University of Pennsylvania  ,Yes,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,No,Croatia,73,20,43,30,93,19,69.67,76,83,76.22,Pass
MCK0583,Pakistan,Asia Pacific,Female,32,2019,Law,National University of Modern Languages  ,No,Student,Junior Associate,Consulting,No,Yes,Finland,63,18,61,30,67,28,63.67,82,79,74.89,Fail
MCK0584,Portugal,Europe,Male,25,2019,Law,ISCTE – University Institute of Lisbon  ,Yes,Student,Junior Associate,Consulting,No,No,Dominican Republic,59,34,63,35,76,35,66,65,100,77,Pass
MCK0585,Thailand,Asia Pacific,Non-Binary,25,2023,Masters,Srinakharinwirot University  ,No,Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Ukraine,68,18,55,19,79,16,67.33,88,91,82.11,Pass
MCK0586,United Kingdom,Europe,Female,30,2023,Masters,University of Lancaster  ,Yes,Student,Senior Service Designer,Visual Graphics & Media,No,No,Austria,45,33,47,35,73,32,55,60,93,69.33,Fail
MCK0587,Angola,Africa,Non-Binary,20,2020,Undergraduate,Mandume ya Ndemufayo University  ,Yes,Self Employed,Executive Assistant,Global Administration,No,No,Czech Republic,67,30,52,33,84,35,67.67,96,75,79.56,Pass
MCK0588,United Kingdom,Europe,Female,20,2024,Undergraduate,Imperial College London,No,Self Employed,Accountant,Finance,Yes,Yes,Netherlands,66,17,90,24,44,16,66.67,86,62,71.56,Fail
MCK0589,Egypt,Middle East,Non-Binary,16,2019,High School,Badr University  ,Yes,Student,Junior Associate,Consulting,Yes,Yes,Greece,42,16,73,25,55,19,56.67,69,94,73.22,Fail
MCK0590,Norway,Europe,Non-Binary,26,2020,MBA,BI Norwegian Business School  ,Yes,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,Yes,United States,60,15,75,24,63,19,66,70,70,68.67,Fail
MCK0591,Colombia,Central and South America,Non-Binary,30,2024,MBA,Universidad del Norte  ,Yes,Student,Office Services Administrator,Global Administration,Yes,No,Azerbaijan,89,16,51,27,75,15,71.67,68,89,76.22,Pass
MCK0592,Philippines,Asia Pacific,Non-Binary,28,2020,MBA,University of San Carlos  ,No,Unemployed,Executive Assistant,Global Administration,No,Yes,Netherlands,67,21,46,30,96,23,69.67,99,80,82.89,Pass
MCK0593,Ireland,Europe,Non-Binary,20,2021,Undergraduate,Griffith College Dublin  ,Yes,Employed,Office Services Administrator,Global Administration,No,Yes,Saudi Arabia,92,22,49,23,67,27,69.33,73,93,78.44,Pass
MCK0594,Japan,Asia Pacific,Female,18,2023,Undergraduate,Chuo University  ,No,Self Employed,Executive Assistant,Global Administration,Yes,Yes,Portugal,97,15,45,22,56,20,66,97,98,87,Pass
MCK0595,Australia,Asia Pacific,Non-Binary,33,2022,Medical Doctor,University of Western Australia  ,Yes,Self Employed,Data Engineer,Analytics,Yes,Yes,Argentina,82,18,94,19,71,17,82.33,81,76,79.78,Pass
MCK0596,United States,North America,Male,32,2019,Law,Cornell University  ,Yes,Employed,Office Services Administrator,Global Administration,No,No,Peru,91,30,45,33,75,34,70.33,71,86,75.78,Pass
MCK0597,Argentina,Central and South America,Non-Binary,31,2024,Ph.D.,National University of Tucumán  ,No,Student,Data Analyst,Analytics,Yes,Yes,Ethiopia,70,17,88,25,94,15,84,65,96,81.67,Pass
MCK0598,Pakistan,Middle East,Female,34,2023,Medical Doctor,University of Sargodha  ,No,Employed,Junior Associate,Consulting,Yes,No,Ireland,100,26,50,30,71,28,73.67,92,61,75.56,Pass
MCK0599,Austria,Europe,Female,35,2018,Law,Medical University of Innsbruck  ,Yes,Student,Executive Assistant,Global Administration,Yes,Yes,Luxembourg,81,16,50,22,72,20,67.67,71,78,72.22,Fail
MCK0600,Croatia,Europe,Female,24,2020,MBA,Veleučilište Nikola Tesla u Gospiću  ,No,Student,Senior Service Designer,Visual Graphics & Media,No,No,Philippines,89,32,52,35,59,32,66.67,87,63,72.22,Fail
MCK0601,Italy,Europe,Female,26,2022,MBA,University of Siena  ,No,Self Employed,Office Services Administrator,Global Administration,No,Yes,South Africa,63,21,40,25,83,29,62,68,94,74.67,Fail
MCK0602,Kenya,Africa,Non-Binary,18,2018,Undergraduate,Technical University of Kenya  ,No,Unemployed,Office Services Administrator,Global Administration,No,Yes,Qatar,64,15,48,23,78,19,63.33,62,69,64.78,Fail
MCK0603,Sri Lanka,Asia Pacific,Male,19,2023,High School,University of Eastern University Sri Lanka  ,No,Unemployed,Finance Analyst,Finance,Yes,No,Luxembourg,75,26,52,27,82,26,69.67,82,82,77.89,Pass
MCK0604,Philippines,Asia Pacific,Female,30,2023,Masters,University of Negros Occidental–Recoletos  ,No,Employed,Director of Public Affairs - US Federal,Communications,No,No,Qatar,67,33,27,35,90,31,61.33,85,79,75.11,Pass
MCK0605,Saudi Arabia,Middle East,Female,18,2018,Undergraduate,King Khalid University  ,Yes,Unemployed,Office Services Administrator,Global Administration,No,No,Uruguay,63,32,49,33,59,31,57,78,88,74.33,Fail
MCK0606,Saudi Arabia,Middle East,Female,22,2022,Undergraduate,Prince Sultan University  ,No,Self Employed,Director of Public Affairs - US Federal,Communications,Yes,No,Kazakhstan,76,16,56,25,85,27,72.33,73,72,72.44,Fail
MCK0607,Egypt,Middle East,Male,27,2019,Masters,October University for Modern Sciences and Arts  ,Yes,Student,Business Presentation Designer,Visual Graphics & Media,Yes,Yes,Mexico,100,20,50,25,56,17,68.67,99,82,83.22,Pass
MCK0608,Germany,Europe,Non-Binary,20,2019,Undergraduate,Universität Göttingen  ,Yes,Unemployed,Executive Assistant,Global Administration,No,No,Indonesia,67,30,67,35,68,30,67.33,66,84,72.44,Fail
MCK0609,Switzerland,Europe,Non-Binary,28,2021,MBA,University of International Business Geneva  ,No,Student,Executive Assistant,Global Administration,No,Yes,Switzerland,67,18,41,23,37,22,48.33,86,96,76.78,Pass
MCK0610,Austria,Europe,Female,21,2022,Undergraduate,"University of Natural Resources and Life Sciences, Vienna (BOKU)  ",No,Self Employed,Junior Associate,Consulting,No,Yes,Norway,60,17,79,30,77,29,72,84,79,78.33,Pass
MCK0611,France,Europe,Non-Binary,32,2022,MBA,Université Paris 7 Denis Diderot  ,Yes,Self Employed,Consultant,Consulting,Yes,Yes,Turkey,72,19,71,18,51,20,64.67,61,80,68.56,Fail
MCK0612,Brazil,Central and South America,Non-Binary,24,2018,Undergraduate,Federal University of Rio de Janeiro,No,Self Employed,Executive Assistant,Global Administration,Yes,No,Hungary,76,26,33,28,75,29,61.33,87,96,81.44,Pass
MCK0613,Germany,Europe,Female,23,2020,Masters,Universität des Saarlandes  ,Yes,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,No,Colombia,79,18,64,28,88,22,77,82,97,85.33,Pass
MCK0614,Finland,Europe,Male,21,2022,Undergraduate,University of Jyväskylä  ,No,Unemployed,Accountant,Finance,No,Yes,Argentina,87,24,42,26,88,25,72.33,91,64,75.78,Pass
MCK0615,United Kingdom,Europe,Female,39,2025,Post-Ph.D.,University of Reading  ,No,Unemployed,Executive Assistant,Global Administration,No,Yes,Saudi Arabia,72,28,30,21,68,19,56.67,91,63,70.22,Fail
MCK0616,South Korea,Asia Pacific,Male,22,2018,Undergraduate,Chung-Ang University  ,Yes,Student,Director of Public Affairs - US Federal,Communications,Yes,No,Netherlands,85,22,45,24,90,23,73.33,73,73,73.11,Fail
MCK0617,Belgium,Europe,Non-Binary,24,2024,Masters,Université libre de Bruxelles (ULB)  ,Yes,Unemployed,Consultant,Consulting,No,No,Greater China,61,35,53,34,60,35,58,71,97,75.33,Pass
MCK0618,Pakistan,Middle East,Male,29,2020,Law,University of Swat  ,Yes,Employed,Junior Associate,Consulting,No,Yes,Ireland,49,18,45,30,59,19,51,72,84,69,Fail
MCK0619,Qatar,Middle East,Female,22,2023,Undergraduate,College of the North Atlantic – Qatar  ,Yes,Self Employed,Communications Specialist - Sustainability,Communications,Yes,No,Croatia,73,30,15,22,81,20,56.33,76,62,64.78,Fail
MCK0620,France,Europe,Non-Binary,35,2021,Ph.D.,Université Paris 8 Vincennes-Saint-Denis  ,No,Student,Communications Specialist - Sustainability,Communications,Yes,Yes,Austria,86,17,78,20,48,18,70.67,83,100,84.56,Pass
MCK0621,Thailand,Asia Pacific,Male,25,2018,Undergraduate,Rajamangala University of Technology  ,No,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,No,Italy,71,26,74,26,85,22,76.67,92,83,83.89,Pass
MCK0622,Azerbaijan,Asia Pacific,Non-Binary,32,2022,MBA,ADA University  ,Yes,Self Employed,Office Services Administrator,Global Administration,Yes,Yes,Ireland,97,20,62,23,69,18,76,73,72,73.67,Fail
MCK0623,Canada,North America,Male,24,2024,Masters,Université de Montréal  ,Yes,Employed,Director of Public Affairs - US Federal,Communications,No,No,Kazakhstan,52,30,76,33,63,33,63.67,80,60,67.89,Fail
MCK0624,Greece,Europe,Female,30,2023,MBA,Athens University of Economics and Business  ,No,Student,Consultant,Consulting,No,No,Pakistan,76,35,60,35,34,35,56.67,68,70,64.89,Fail
MCK0625,Chile,Central and South America,Male,18,2022,Undergraduate,Universidad de Atacama  ,Yes,Student,Director of Public Affairs - US Federal,Communications,Yes,Yes,Kazakhstan,63,15,67,24,69,19,66.33,90,66,74.11,Fail
MCK0626,Panama,Central and South America,Female,29,2019,MBA,Panama International University  ,Yes,Employed,Junior Associate,Consulting,Yes,Yes,Norway,82,15,72,20,58,16,70.67,73,70,71.22,Fail
MCK0627,Portugal,Europe,Non-Binary,25,2022,Medical Doctor,Catholic University of Portugal  ,Yes,Unemployed,Consultant,Consulting,No,No,Philippines,67,31,58,34,82,35,69,98,69,78.67,Pass
MCK0628,Thailand,Asia Pacific,Female,20,2021,Undergraduate,Bangkok University  ,Yes,Student,Communications Specialist - Sustainability,Communications,Yes,Yes,Pakistan,71,18,33,20,67,19,57,70,76,67.67,Fail
MCK0629,Guatemala,Central and South America,Female,25,2019,Undergraduate,Universidad de Occidente  ,Yes,Employed,Accountant,Finance,No,No,Malaysia,86,35,80,34,74,33,80,71,97,82.67,Pass
MCK0630,Belgium,Europe,Non-Binary,28,2024,MBA,Vrije Universiteit Brussel (VUB)  ,No,Self Employed,Executive Assistant,Global Administration,No,No,Italy,53,31,54,34,77,30,61.33,77,60,66.11,Fail
MCK0631,Brazil,Central and South America,Male,24,2018,MBA,Federal University of Rio de Janeiro,Yes,Unemployed,Data Analyst,Analytics,Yes,No,Brazil,88,18,68,25,66,28,74,90,70,78,Pass
MCK0632,Romania,Europe,Male,25,2024,Masters,University of Medicine and Pharmacy of Târgu Mureș  ,Yes,Unemployed,Office Services Administrator,Global Administration,No,No,Ukraine,88,31,50,35,73,35,70.33,71,79,73.44,Fail
MCK0633,Brazil,Central and South America,Non-Binary,22,2024,Undergraduate,Universidade de São Paulo,Yes,Unemployed,Accountant,Finance,Yes,Yes,United Arab Emirates,86,20,69,19,79,16,78,92,80,83.33,Pass
